Test,Sensor,Distance (inches),Angle (degrees)
73,1,12.65748031496063,222.85000000000002
73,2,12.5,320.76
73,3,14.625984251968504,49.79000000000002
73,4,14.468503937007874,130.8
74,1,12.775590551181102,222.51
74,2,12.696850393700787,322.32
74,3,14.665354330708661,48.889999999999986
74,4,14.507874015748031,135.42
75,1,12.775590551181102,222.63
75,2,12.736220472440944,323.58000000000004
75,3,14.271653543307087,50.60000000000002
75,4,14.901574803149606,134.23
76,1,12.736220472440944,222.52999999999997
76,2,12.5,320.39
76,3,14.625984251968504,49.870000000000005
76,4,13.917322834645669,135.4
77,1,12.618110236220472,222.26999999999998
77,2,12.65748031496063,322.48
77,3,14.665354330708661,49.75999999999999
77,4,14.901574803149606,133.97
78,1,12.696850393700787,222.54000000000002
78,2,12.736220472440944,322.64
78,3,14.665354330708661,48.06999999999999
78,4,14.862204724409448,135.34
79,1,12.736220472440944,222.48000000000002
79,2,12.775590551181102,322.27
79,3,14.507874015748031,49.81
79,4,14.783464566929133,134.19
80,1,12.775590551181102,222.45999999999998
80,2,12.460629921259843,322.53
80,3,14.665354330708661,49.920000000000016
80,4,14.862204724409448,134.49
81,1,12.736220472440944,222.51999999999998
81,2,12.775590551181102,322.51
81,3,14.507874015748031,50.74000000000001
81,4,14.901574803149606,134.39
82,1,12.65748031496063,222.37
82,2,12.736220472440944,319.78
82,3,14.704724409448819,49.74000000000001
82,4,14.940944881889763,133.7
83,1,12.736220472440944,222.68
83,2,12.775590551181102,322.5
83,3,14.665354330708661,45.829999999999984
83,4,14.901574803149606,134.48
84,1,12.775590551181102,222.92000000000002
84,2,12.775590551181102,321.18
84,3,14.625984251968504,49.64999999999998
84,4,14.82283464566929,135.36
85,1,12.65748031496063,222.57
85,2,12.65748031496063,320.23
85,3,14.704724409448819,48.35000000000002
85,4,14.901574803149606,134.27
86,1,12.736220472440944,222.57999999999998
86,2,12.5,320.55
86,3,14.507874015748031,50.26999999999998
86,4,14.586614173228346,135.48
87,1,12.696850393700787,222.79000000000002
87,2,12.65748031496063,319.73
87,3,14.665354330708661,49.74000000000001
87,4,14.82283464566929,133.43
88,1,12.696850393700787,222.45999999999998
88,2,12.5,322.7
88,3,14.271653543307087,50.629999999999995
88,4,14.940944881889763,133.92
89,1,12.696850393700787,222.57
89,2,12.5,317.15
89,3,14.625984251968504,49.76999999999998
89,4,14.901574803149606,133.39
90,1,12.696850393700787,222.58999999999997
90,2,12.854330708661417,320.26
90,3,14.625984251968504,49.77999999999997
90,4,14.862204724409448,133.39
91,1,12.618110236220472,222.55
91,2,12.460629921259843,322.63
91,3,14.704724409448819,49.410000000000025
91,4,14.862204724409448,134.32
92,1,12.81496062992126,222.51999999999998
92,2,12.65748031496063,319.81
92,3,14.547244094488189,49.829999999999984
92,4,14.901574803149606,134.04
93,1,12.736220472440944,222.55
93,2,12.618110236220472,323.1
93,3,14.704724409448819,49.860000000000014
93,4,14.901574803149606,134.55
94,1,12.696850393700787,222.39999999999998
94,2,12.736220472440944,322.58000000000004
94,3,14.625984251968504,49.72000000000003
94,4,14.940944881889763,134.73
95,1,12.736220472440944,222.32999999999998
95,2,12.34251968503937,322.56
95,3,14.625984251968504,49.75999999999999
95,4,14.862204724409448,133.69
96,1,12.775590551181102,222.49
96,2,12.578740157480315,318.08000000000004
96,3,14.547244094488189,48.20999999999998
96,4,14.744094488188976,130.55
97,1,12.736220472440944,222.47000000000003
97,2,12.5,320.43
97,3,14.429133858267717,46.879999999999995
97,4,14.940944881889763,134.52
98,1,12.736220472440944,222.63
98,2,12.775590551181102,322.49
98,3,14.704724409448819,49.76999999999998
98,4,14.901574803149606,133.56
99,1,12.775590551181102,222.51999999999998
99,2,12.65748031496063,322.57
99,3,14.704724409448819,49.670000000000016
99,4,14.82283464566929,133.63
100,1,12.775590551181102,222.64999999999998
100,2,12.81496062992126,322.47
100,3,14.625984251968504,49.839999999999975
100,4,14.901574803149606,133.68
101,1,12.65748031496063,222.51999999999998
101,2,12.65748031496063,321.11
101,3,14.625984251968504,49.74000000000001
101,4,14.862204724409448,134.15
102,1,12.696850393700787,222.52999999999997
102,2,12.775590551181102,319.96000000000004
